number of bedrooms,number of bathrooms,living area,lot area,number of floors,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,Price
5,2.5,3650,9050,2,10,3370,280,1921,122003,52.8645,-114.557,2880,2380000
4,2.5,2920,4000,1.5,8,1910,1010,1909,122004,52.8878,-114.47,2470,1400000
5,2.75,2910,9480,1.5,8,2910,0,1939,122004,52.8852,-114.468,2940,1200000
4,2.5,3310,42998,2,9,3310,0,2001,122005,52.9532,-114.321,3350,838000
3,2,2710,4500,1.5,8,1880,830,1929,122006,52.9047,-114.485,2060,805000
3,2.5,2600,4750,1,9,1700,900,1951,122007,52.9133,-114.59,2380,790000
5,3.25,3660,11995,2,10,3660,0,2006,122008,52.7637,-114.05,3320,785000
3,1.75,2240,10578,2,8,1550,690,1923,122006,52.9254,-114.482,1570,750000
3,2.5,2390,6550,1,8,1440,950,1955,122009,52.8014,-114.598,2010,750000
4,2.25,2200,11250,1.5,7,1300,900,1920,122010,52.9145,-114.391,2320,698000
5,2.5,2820,67518,2,8,2820,0,1979,122011,52.8094,-114.215,2820,675000
4,2,1820,5000,1.5,7,1640,180,1945,122006,52.9115,-114.459,2060,650000
4,2,1520,6200,1.5,7,1520,0,1945,122006,52.908,-114.459,1910,640000
4,2.75,2710,37277,2,9,2710,0,2000,122012,52.6934,-114.177,2390,630000
3,2.25,1750,1572,2.5,9,1470,280,2005,122013,52.8798,-114.511,2410,626000
4,2.5,2820,8408,2,9,2820,0,2014,122014,52.9838,-114.515,1300,625000
4,3.25,2730,54014,1,9,1560,1170,2007,122015,52.7433,-114.3,2730,625000
3,1.75,2360,7291,1,8,1360,1000,1948,122016,52.7574,-114.574,1860,615000
4,2.5,2730,12261,2,9,2730,0,1991,122017,52.9719,-114.395,2730,612500
3,2.5,3240,33151,2,10,3240,0,1995,122018,52.5556,-114.568,4050,604000
3,1.75,2330,14892,1,8,1970,360,1980,122019,52.8567,-114.236,2570,588500
4,2.5,3310,6500,2,8,3310,0,2012,122008,52.745,-114.06,2380,555000
4,2.5,1940,10500,1,7,1140,800,1976,122005,52.913,-114.304,2200,550000
3,1.75,2910,35200,1.5,8,2910,0,1979,122020,52.8047,-114.225,2590,550000
4,2.5,2860,3345,2,8,2190,670,2004,122021,53.0035,-114.348,2860,499950
4,1.75,1600,6380,1,8,1130,470,1959,122022,52.931,-114.496,1090,495000
4,1.75,2190,125452,1,9,2190,0,1968,122023,52.5003,-114.259,3000,491500
2,1,880,6380,1,7,880,0,1938,122006,52.9224,-114.512,1340,490000
4,2.5,2710,35868,2,9,2710,0,1989,122024,52.605,-114.212,2780,482000
5,2.5,2210,9655,1,8,1460,750,1976,122017,52.9998,-114.412,2080,470000
3,1.75,1710,7320,1,7,1710,0,1948,122014,52.9812,-114.471,2260,463000
3,2.5,2680,5539,2,8,2680,0,2013,122025,52.7061,-113.924,2990,459990
3,2.5,2430,88426,1,7,1570,860,1985,122025,52.7128,-113.908,1560,452500
3,2.5,1270,1180,3,8,1270,0,2001,122026,52.8997,-114.582,1320,445700
4,2.25,2160,8119,1,8,1080,1080,1966,122027,52.7743,-114.367,1850,440000
2,1,800,4850,1,7,800,0,1944,122026,52.8939,-114.554,1150,440000
3,2.5,1770,2875,2,8,1770,0,1990,122009,52.7931,-114.587,1770,439950
3,2.25,1970,35100,2,9,1970,0,1977,122012,52.6935,-114.181,2340,437500
3,2.5,1770,1235,3,8,1600,170,2007,122028,52.9265,-114.532,1680,436110
4,1,1450,8800,1,7,1450,0,1954,122027,52.8046,-114.325,1260,435000
4,1.5,1920,10000,1,7,1070,850,1954,122027,52.8025,-114.323,1450,430000
3,2.25,2000,8030,1,8,1000,1000,1963,122029,52.8488,-114.304,2070,420000
